000.1;KETATAUSAHAAN DAN KERUMAHTANGGAAN
400.10.4.5;Tenaga Kerja Perdesaan
400.10.5;Usaha Ekonomi Masyarakat
400.10.5.1;Usaha Pertanian dan Pangan
400.10.5.2;Usaha Perkreditan dan Simpan Pinjam
400.10.5.3;Produksi dan Pemasaran
400.10.5.4;Usaha Ekonomi dan Keluarga
400.10.5.5;Ekonomi Perdesaan dan Masyarakat Tertinggal
400.10.6;Sumberdaya Alam dan Teknologi Tepat Guna Perdesaan
400.10.6.1;Fasilitasi Konservasi dan Rehabilitasi Lingkungan Perdesaan
400.10.6.2;Fasilitasi Pemanfaatan Lahan dan Pesisir Perdesaan
400.10.6.3;Fasilitasi Prasarana dan Sarana Perdesaan
400.10.6.4;Fasilitasi Pemetaan Kebutuhan dan Pengkajian Teknologi Perdesaan
400.10.6.5;Pemasyarakatan dan Kerjasama Teknologi Perdesaan
400.10.7;Badan Usaha Milik Desa (Bumdes)
400.11;PERTAMANAN DAN PEMAKAMAN
400.11.1;Kebijakan di bidang Pertamanan dan Pemakaman yang dilakukan oleh Pemerintah Daerah                 
400.11.2;Pertamanan
400.11.2.1;Perencanaan Pertamanan
400.11.2.2;Taman Kota
400.11.2.3;Tata Hias dan Ornamen Kota
400.11.3;Pemakaman
400.11.3.1;Perencanaan Pemakaman
400.11.3.2;Pemakaman
400.11.3.3;Pelayanan Pemakaman
400.11.4;Jalur Hijau
400.11.4.1;Perencanaan Jalur Hijau
400.11.4.2;Jalur Hijau Jalan
400.11.4.3;Jalur Hijau Penyempurna dan Tepian Air
400.11.5;Peran Serta Masyarakat
400.11.6;Pengawasan dan Penindakan 
400.11.7;Pengelolaan Data
400.11.8;Evaluasi dan Pelaporan
400.12;KEPENDUDUKAN DAN CATATAN SIPIL
400.12.1;Kebijakan di bidang Kependudukan dan Catatan Sipil yang dilakukan oleh Pemerintah Daerah.                
400.12.2;Pendaftaran Penduduk
400.12.2.1;Identitas Penduduk
400.12.2.2;Pindah Datang Penduduk Dalam Wilayah NKRI
400.12.2.3;Pindah Datang Penduduk Antar Negara
400.12.2.4;Pendataan Penduduk Rentan
400.12.2.5;Monitoring Evaluasi dan Dokumentasi
400.12.3;Pencatatan Sipil
400.12.3.1;Kelahiran dan Kematian
400.12.3.2;Perkawinan dan Perceraian
400.12.3.3;Pengangkatan Pengakuan dan Pengesahan Anak serta Perubahan
400.12.3.4;Pencatatan Kewarganegaraan
400.12.3.5;Monitoring Evaluasi dan Dokumentasi
400.12.4;Pengelolaan Informasi Administrasi Kependudukan
400.12.4.1;Sistem Informasi Administrasi Kependudukan
400.12.4.2;Kelembagaan Informasi Administrasi Kependudukan
400.12.4.3;Pengelolaan data Administrasi Kependudukan
400.12.4.4;Penyajian dan Layanan Informasi Administrasi Kependudukan
400.12.4.5;Monitoring Evaluasi dan Dokumentasi
400.12.5;Pengembangan Kebijakan Kependudukan
400.12.5.1;Kuantitas Penduduk
400.12.5.2;Kualitas Penduduk
400.12.5.3;Mobilitas Penduduk
400.12.5.4;Perlindungan dan Pemberdayaan Penduduk
400.12.5.5;Pengembangan Wawasan Kependudukan, Monitoring dan Evaluasi
400.12.6;Penyerasian Kependudukan
400.12.6.1;Indikator Kependudukan
400.12.6.2;Proyeksi Penduduk
400.12.6.3;Perencanaan Kependudukan
400.12.6.4;Penyerasian Kebijakan Kependudukan dengan Lembaga Non Pemerintah
400.12.6.5;Pelaksanaan Penyerasian Kebijakan Kependudukan dengan Lembaga Pemerintah
400.13;KELUARGA BERENCANA
400.13.1;Kebijakan di bidang Keluarga Berencana yang dilakukan oleh Pemerintah Daerah
400.13.2;Analisis pengaduan kebijakan pengendalian penduduk
400.13.2.1;Pengumpulan dan pengolahan data
400.13.2.2;Evaluasi dan pelaporan
400.13.3;Fasilitas pengaduan kebijakan pengendalian penduduk
400.13.3.1;Penyiapan fasilitas
400.13.3.2;Evaluasi dan pelaporan
400.13.4;Profil dan proyeksi penduduk
400.13.4.1;Data profil dan proyeksi penduduk
400.13.4.2;Evaluasi data profil dan proyeksi penduduk
400.13.5;Penetapan parameter pengendalian penduduk
400.13.5.1;Penetapan sasaran parameter
400.13.5.2;Evaluasi sasaran parameter
400.13.6;Pemanfaatan perencanaan pengendalian penduduk
400.13.6.1;Pemanfaatan profil dan proyeksi
400.13.6.2;Pemanfaatan parameter
400.13.7;Pengembangan Sistem
400.13.7.1;Pengembangan Sistem Jalur Pendidikan Formal
400.13.7.2;Pengembangan Sistem Jalur Pendidikan Nonformal dan Informal
400.13.8;Pengembangan Materi
400.13.8.1;Pengembangan Materi Jalur Pendidikan Formal
400.13.8.2;Pengembangan Materi Jalur Pendidikan Nonformal dan Informal
400.13.9;Monitoring dan Evaluasi
400.13.9.1;Monitoring dan Evaluasi Jalur Pendidikan Formal
400.13.9.2;Monitoring dan Evaluasi Jalur Pendidikan Nonformal dan Informal
400.13.10;Analisis Sosial
400.13.11;Analisis Ekonomi
400.13.12;Analisis Dampak Politik, Pertahanan dan Keamanan
400.13.13;Analisis Daya Dukung dan Daya Tampung Lingkungan
400.13.14;Bina Keluarga Berencana Rumah Sakit dan Klinik Pemerintah
400.13.15;Jaminan pelayanan dan penyediaan sarana keluarga berencana
400.13.16;Kualitas pelayanan keluarga berencana pemerintah
400.13.16.1;Standarisasi pelayanan keluarga berencana pemerintah
400.13.16.2;Monitoring dan evaluasi pelayanan keluarga berencana pemerintah
400.13.17;Bina keluarga berencana rumah sakit dan klinik swasta
400.13.18;Jaminan dan ketersediaan sarana keluarga berencana swasta
400.13.19;Kualitas pelayanan keluarga berencana swasta
400.13.19.1;Standarisasi pelayanan keluarga berencana swasta
400.13.19.2;Monitoring dan Evaluasi pelayanan keluarga berencana swasta
400.13.20;Akses dan kualitas pelayanan keluarga berencana jalur wilayah tertinggal, terpencil dan perbatasan 
400.13.20.1;Peningkatan akses pelayanan keluarga berencana wilayah tertinggal, terpencil, dan perbatasan
400.13.20.2;Peningkatan kualitas pelayanan keluarga berencana wilayah tertinggal, terpencil, dan perbatasan
400.13.21;Akses dan kualitas pelayanan keluarga berencana wilayah miskin perkotaan 
400.13.21.1;Peningkatan akses pelayanan keluarga berencana wilayah miskin perkotaan
400.13.21.2;Peningkatan kualitas pelayanan keluarga berencana wilayah miskin perkotaan
400.13.22;Kesertaan keluarga berencana pria 
400.13.22.1;Peningkatan akses keluarga berencana pria
400.13.22.2;Peningkatan partisipasi keluarga berencana pria
400.13.23;Kelangsungan hidup ibu, bayi, dan anak
400.13.24;Pencegahan PMS dan HIV/AIDS
400.13.25;Pencegahan kanker alat reproduksi dan penanggulangan infertilitas
400.13.26;Pelembagaan bina keluarga Balita dan anak
400.13.26.1;Pengembangan kelompok bina keluarga Balita dan anak
400.13.26.2;Pengembangan kemitraan bina keluarga dan anak
400.13.27;Monitoring dan evaluasi bina keluarga Balita dan anak
400.13.27.1;Monitoring bina keluarga Balita dan anak
400.13.27.2;Evaluasi dan pelaporan bina keluarga Balita dan anak
400.13.28;Pelembagaan bina ketahanan remaja
400.13.28.1;Pelembagaan bina ketahanan remaja jalur pendidikan
400.13.28.2;Pelembagaan bina ketahanan remaja jalur masyarakat
400.13.29;Monitoring dan evaluasi bina ketahanan remaja
400.13.29.1;Monitoring bina ketahanan remaja
400.13.29.2;Evaluasi dan pelaporan bina ketahanan remaja
400.13.30;Pengembangan Program Bina Ketahanan Keluarga Lansia dan Rentan
400.13.30.1;Pengembangan Program Bina Ketahanan keluarga Lansia
400.13.30.2;Pengembangan Program Bina Ketahanan keluarga Rentan
400.13.31;Pelembagaan Bina Ketahanan keluarga Lansia dan Rentan
400.13.31.1;Pengembangan Kelompok Bina Ketahanan Keluarga Lansia dan Rentan
400.13.31.2;Pengembangan Kemitraan Bina Ketahanan Keluarga Lansia dan Rentan
400.13.32;Monitoring dan evaluasi bina ketahanan keluarga Lansia dan Rentan
400.13.32.1;Monitoring Bina Ketahanan Keluarga Lansia dan Rentan
400.13.32.2;Evaluasi dan pelaporan bina ketahanan keluarga Lansia dan Rentan
400.13.33;Pengembangan program usaha ekonomi keluarga 
400.13.34;Peningkatan teknologi dan permodalan usaha ekonomi keluarga
400.13.35;Peningkatan manajemen usaha ekonomi keluarga
400.13.35.1;Pengembangan administrasi dan keuangan kelompok usaha ekonomi keluarga
400.13.35.2;Pengemangan pemasaran kelompok usaha ekonomi keluarga
400.13.36;Monitoring dan evaluasi usaha ekonomi keluarga
400.13.37;Pengembangan Program Pusat pelayanan Keluarga Sejahtera
400.13.38;Pelembagaan Pusat Pelayanan Keluarga Sejahtera
400.13.38.1;Pengembangan Pusat Pelayanan Keluarga Sejahtera
400.13.38.2;Pengembangan Kemiitraan Pusat Pelayanan Keluarga Sejahtera
400.13.39;Monitoring dan Evaluasi Pusat Pelayanan Keluarga Sejahtera
400.13.39.1;Monitoring Pusat Pelayanan Keluarga Sejahtera
400.13.39.2;Evaluasi dan pelaporan Pusat Pelayanan Keluarga Sejahtera
400.13.40;Pengembangan advokasi dan komunikasi, informasi, edukasi
400.13.40.1;Perencanaan advokasi dan komunikasi, informasi, edukasi
400.13.40.2;Evaluasi dan pelaporan advokasi dan komunikasi, informasi, edukasi
400.13.41;Advokasi dan pencitraan
400.13.42;Komunikasi, Informasi dan Edukasi
400.13.42.1;Promosi
400.13.42.2;Sarana produksi media komunikasi
400.13.42.3;Produk media komunikasi
400.13.43;Hubungan dengan lembaga pemerintah pusat dan provinsi
400.13.44;Hubungan dengan lembaga pemerintah kabupaten dan kota
400.13.44.1;Pengembangan hubungan dengan lembaga pemerintah kabupaten dan kota
400.13.44.2;Penguatan hubungan dengan lembaga pemerintah kabupaten dan kota
400.13.45;Hubungan dengan lembaga nonpemerintah
400.13.45.1;Pengembangan hubungan dengan lembaga nonpemerintah
400.13.45.2;Penguatan hubungan dengan lembaga nonpemerintah
400.13.46;Tenaga Lini Lapangan
400.13.46;Tenaga Lini Lapangan
400.13.46.2;Monitoring dan evaluasi tenaga lini lapangan
400.13.47;Institusi Masyarakat Pedesaan
400.13.47.1;Pengembangan institusi masyarakat pedesaan
400.13.47.2;Monitoring dan evaluasi institusi masyarakat pedesaan
400.13.48;Mekanisme Operasional lini lapangan
400.13.48.1;Pengembangan mekanisme operasional lini lapangan
400.13.48.2;Monitoring dan evaluasi mekanisme operasional lini lapangan
400.13.49;Pengembangan sistem pencatatan dan pelaporan
400.13.49.1;Perumusan pola sistem pencatatan dan pelaporan
400.13.49.2;Monitoring dan evaluasi sistem pencatatan dan pelaporan
400.13.50;Pengumpulan dan pengolahan data
400.13.51;Analisis dan evaluasi
400.13.51.1;Analisis dan evaluasi pengendalian penduduk
400.13.51.2;Analisis dan evaluasi keluarga berencana dan keluarga sejahtera
400.13.52;Sistem aplikasi dan bank data
400.13.52.1;Pengembangan sistem aplikasi
400.13.52.2;Pengelolaan bank data
400.13.53;Infrastruktur teknologi informasi
400.13.53.1;Pengembangan infrastruktur teknologi informasi
400.13.53.2;Pemeliharaan infrastruktur teknologi informasi
400.13.54;Dokumentasi dan penyebarluasan informasi
400.13.54.1;Dokumentasi dan perpustakaan
400.13.54.2;Pengelolaan situs BKKBN dan media konferensi
400.14;HUBUNGAN MASYARAKAT
400.14.1;Keprotokolan 
400.14.1.1;Penyelenggaraan acara kedinasan ( upacara,pelantikan,peresmian,dan jamuan termasuk acara peringatan hari-hari besar ) 
400.14.1.2;Buku tamu Keprotokolan
400.14.1.3;Agenda kegiatan pimpinan daerah
400.14.1.4;Kunjungan dinas dalam dan luar negeri
400.14.2;Daftar nama/alamat kantor /pejabat
400.14.2;Daftar nama/alamat kantor /pejabat
400.14.4;Pengumpulan,pengolahan dan penyajian informasi kelembagaan
400.14.4.1;Kliping koran
400.14.4.2;Brosur /Leaflet/poster /plakat
400.14.4.3;Pengumuman /pemberitaan
400.14.5;Hubungan antar lembaga dan Pemerintahan Daerah
400.14.5.1;Hubungan antar lembaga pemerintah
400.14.5.2;Hubungan dengan organisasi sosial / LSM
400.14.5.3;Hubungan dengan perusahaan
400.14.5.4;Hubungan dengan Perguruan Tinggi/ sekolah, termasuk magang, Pendidikan Sistem Ganda (PSG)/ Praktek Kerja Lapang (PKL)
400.14.5.5;Forum Kehumasan
400.14.5.6;Hubungan dengan Media Massa 
400.14.6;Dengar pendapat/hearing DPRD
400.14.7;Bahan/materi pidato/sidang Muspida Provinsi/Kota/Kabupaten
400.14.8;Penerbitan Majalah,buletin,koran dan jurnal
400.14.9;Publikasi melalui media cetak  maupun elektronik
400.14.10;Pameran /sayemara/lomba/festival,pembuatan spanduk dan iklan
400.14.11;Penghargaan/tanda kenang-kenangan
400.14.12;Ucapan Terimakasih, Ucapan Selamat, Bela Sungkawa, Permohonan Maaf
500;PEREKONOMIAN
500.1;KETAHANAN PANGAN
500.1.1;Kebijakan di bidang Ketahanan Pangan yang dilakukan Pemerintah Daerah
500.1.2;Ketersediaan dan Kerawanan Pangan
500.1.2.1;Ketersediaan Pangan
500.1.2.2;Akses Pangan 
500.1.2.3;Kerawanan Pangan
500.1.3;Distribusi dan Cadangan Pangan
500.1.3.1;Distribusi Pangan
500.1.3.2;Harga Pangan
500.1.3.3;Cadangan Pangan
500.1.4;Penganekaragaman Konsumsi dan Ketahanan Pangan
500.1.4.1;Konsumsi Pangan
500.1.4.2;Penganekaragaman Pangan
500.1.4.3;Keamanan Pangan Segar
500.1.5;Penguatan Kelembagaan Ketahanan Pangan
500.1.5.1;Dewan Ketahanan Pangan
500.1.5.2;Penghargaan Ketahan Pangan
500.1.6;Swasembada Pangan (Kearifan Lokal)
500.1.7;Bimbingan Teknis
500.1.8;Evaluasi
500.2;PERDAGANGAN
500.2.1;Kebijakan di bidang Perdagangan yang dilakukan oleh Pemerintah Daerah 
500.2.2;Perdagangan Dalam Negeri
500.2.2.1;Bina Usaha Kelembagaan dan Penguatan Usaha
500.2.2.2;Bisa Usaha Jasa Perdangan
500.2.2.3;Bina Usaha Dagang Asing dan Keagenan
500.2.2.4;Informasi Perusahaan
500.2.2.5;Pelaku Pasar
500.2.2.6;Iklim Usaha dan Bimbingan Teknis Usaha Dagang Kecil Menengah
500.2.2.7;Fasilitasi Usaha dan Pemasaran Usaha Dagang Kecil Menengah
500.2.2.8;Pengembangan Produk Lokal
500.2.2.9;Pencitraan Produk Dalam Negeri
500.2.2.10;Pengembangan Sarana Distribusi
500.2.2.11;Pengelolaan Sarana Distribusi
500.2.2.12;Kerjasama Pengembangan Sistem Logistik
500.2.2.13;Informasi dan Bimbingan Teknis Penyedia Jasa Logistik
500.2.2.14;Informasi Pasar
500.2.2.15;Informasi Hasil Industri
500.2.2.16;Barang Strategis
500.2.2.17;Bahan Pokok Agro
500.2.3;Standarisasi dan Perlindungan Konsumen
500.2.3.1;Kelembagaan dan informasi standar
500.2.3.2;Kerjasama Standarisasi
500.2.3.3;Perumusan dan penerapan standar
500.2.3.4;Tata usaha
500.2.3.5;Kerjasama, informasi, dan publikasi
500.2.3.6;Analisa penyelenggaraan perlindungan konsumen
500.2.3.7;Bimbingan konsumen dan pelaku usaha
500.2.3.8;Fasilitas kelembagaan
500.2.3.9;Produk pertambangan dan aneka industri
500.2.3.10;Produk pertanian, kimia dan kehutanan
500.2.3.11;Jasa
500.2.3.12;Kerjasama
500.2.3.13;Sarana dan Kerjasama
500.2.3.14;Kelembagaan dan dan penilaian
500.2.3.15;UTTP dan Standar Ukuran
500.2.3.16;Pengawasan
500.2.3.17;Balai pengelolaan Standar Nasional Satuan Ukuran
500.2.3.18;Balai Pengujian UTTP
500.2.4;Perdagangan Berjangka Komoditi
500.2.4.1;Pengkajian pasar
500.2.4.2;Pengawasan Transaksi
500.2.4.3;Pengawasan Keuangan dan Audit
500.2.4.4;Pengkajian pasar
500.2.4.5;Pengembangan Pasar
500.2.4.6;Sistem informasi
500.2.4.7;Pembinaan pasar lelang dan sistem resi gudang
500.2.4.8;Pengawasan pasar lelang
500.2.4.9;Pengawasan sistem gudang
500.2.5;Bimbingan Teknis
500.2.6;Evaluasi
500.3;KOPERASI DAN USAHA KECIL MENENGAH
500.3.1;Kebijakan di bidang Koperasi dan Usaha Kecil Menengah yang dilakukan oleh  Pemerintah Daerah                
500.3.2;Kelembagaan Koperasi dan UKM
500.3.2.1;Organisasi dan Badan Hukum Koperasi
500.3.2.2;Tata Laksana Koperasi dan UKM
500.3.2.3;Keanggotaan Koperasi
500.3.2.4;Pengendalian dan Akuntabilitas
500.3.3;Produksi
500.3.3.1;Pertanian Tanaman Pangan dan Hortikultura
500.3.3.2;Kehutanan dan Perkebunan
500.3.3.3;Perikanan dan Peternakan
500.3.3.4;Industri Kerajinan dan Pertambangan
500.3.3.5;Ketenagalistrikan dan Aneka Usaha
500.3.4;Pembiayaan
500.3.4.1;Program Pendanaan 
500.3.4.2;Pengembangan dan Pengendalian Simpan Pinjam
500.3.4.3;Urusan Permodalan
500.3.4.4;Asuransi dan Jasa Keuangan
500.3.4.5;Pembiayaan dan Penjaminan Kredit
500.3.4.6;Lembaga Pengelola Dana Bergulir KUKM (LPDB)
500.3.5;Pemasaran dan Jaringan Usaha
500.3.5.1;Perdagangan Dalam Negeri
500.3.5.2;Ekspor dan Impor
500.3.5.3;Sarana dan Prasarana Pemasaran
500.3.5.4;Kemitraan dan Jaringan Usaha
500.3.5.5;Informasi dan Publikasi Bisnis
500.3.5.6;Lembaga Layanan Pemasaran LLP Koperasi dan UKM
500.3.6;Pengembangan Sumber Daya Manusia
500.3.6.1;Pengembangan Kewirausahaan
500.3.6.2;Kebijakan Pendidikan Koperasi dan UKM
500.3.6.3;Peran Serta Masyarakat
500.3.6.4;Monitoring dan Evaluasi Diklat Koperasi dan UKM
500.3.6.5;Advokasi 
500.3.7;Pengembangan dan Restrukturisasi Usaha
500.3.7.1;Produktifitas dan Mutu
500.3.7.2;Restrukturisasi Usaha
500.3.7.3;Pemberdayaan Lembaga Pengembangan Bisnis (LPB)
500.3.7.4;Fasilitasi Investasi UKMK 
500.3.7.5;Pengembangan Sarana Bisnis
500.3.8;Pengkajian Sumber Daya UKMK
500.3.8.1;Penelitian Koperasi 
500.3.8.2;Penelitian UKM
500.3.8.3;Penelitian Sumber Daya
500.3.8.4;Pengembangan Perkaderan UMK
500.3.9;Pedagang Kaki Lima (PKL)
500.3.10;Pedagang Kaki Lima (PKL)
500.3.10.1;Peraturan Perundang-Undangan
500.3.10.2;Sarana dan Prasarana
500.3.11;Monitoring dan Evaluasi
500.4;KEHUTANAN
500.4.1; Kebijakan di bidang Kehutanan yang dilakukan oleh Pemerintah Daerah
500.4.2;Penyuluhan
500.4.2.1;Program Kerja Penyuluhan
500.4.2.2;Materi Penyuluhan
500.4.2.3;Program Penyuluhan
500.4.2.4;Sarana Penyuluhan
500.4.2.5;Pengembangan Tenaga Penyuluhan
500.4.2.6;Pelaksanaan Penyuluhan
500.4.2.7;Pemberdayaan Masyarakat
500.4.2.8;Deseminasi 
500.4.2.9;Evaluasi, dan Laporan
500.4.3;Planologi Kehutanan
500.4.3.1;Perencanaan Makro Kawasan Hutan 
500.4.3.2;Penataan Ruang Kawasan Hutan
500.4.3.3;Statistik dan Jaringan Komunikasi Data Kehutanan
500.4.3.4;Pengukuhan dan Penataaan Kawasan Hutan 
500.4.3.5;Perubahan Fungsi dan Peruntukan Kawasan Hutan
500.4.3.6;Informasi dan Dokumentasi Kawasan Hutan 
500.4.3.7;Inventarisasi Sumber Daya Hutan
500.4.3.8;Pemantauan Sumber Daya Hutan 
500.4.3.9;Pemetaan Sumber Daya Hutan 
500.4.3.10;Jaringan Data Spasial
500.4.3.11;Penggunaan Kawasan Hutan
500.4.3.12;Penerimaan Negara Bukan Pajak (PNBP) Penggunaan Kawasan Hutan
500.4.3.13;Informasi Penggunaan Kawasan Hutan 
500.4.3.14;Pembentukan Wilayah Pengelolaan Hutan
500.4.3.15;Penyiapan Areal Pemanfaatan Hutan 
500.4.3.16;Informasi Wilayah Pengelolaan dan Pemanfaatan Kawasan Hutan
500.4.4;Bina Usaha Kehutanan
500.4.4.1;Data areal HPH /HTI/IUPHHK
500.4.4.2;SK HPH/HTI/IUPHHK
500.4.4.3;Kerjasama
500.4.4.4;Pembatalan/Penolakan
500.4.4.5;Perpanjangan
500.4.4.6;Modal dan Peralatan  
500.4.4.7;Investasi Industri
500.4.4.8;Peralatan
500.4.4.9;Tenaga Kerja
500.4.4.10;Pemegang Saham
500.4.4.11;Neraca Perusahaan
500.4.4.12;Rencana Karya Kesatuan Pengelolaan Hutan Produksi (KPHP) 
500.4.4.13;Rencana Karya Pengusahaan Hutan (RKPH) 
500.4.4.14;Rencana Karya Tahunan Pengusahaan Hutan (RKT)
500.4.4.15;Rencana Karya Lima Tahun Pengusahaan Hutan (RKL)
500.4.4.16;Target Produksi RKT dan Beban Kerja
500.4.4.17;Produksi Kayu
500.4.4.18;Produksi non kayu
500.4.4.19;Industri Kayu HPH/HTI/IUPHHK
500.4.4.20;Industri Kayu Non HPH/HTI/IUPHHK
500.4.4.21;Industri Non Kayu
500.4.4.22;Hutan Tanaman Industri Pulp
500.4.4.23;Hutan Tanaman Industri Pertukangan
500.4.4.24;Pelanggaran dan Sanksi
500.4.4.25;Pemblokiran
500.4.4.26;Denda
500.4.4.27;Pencabutan Areal HPH/HTI/IUPHHK
500.4.4.28;Pola Pemanfaatan Hutan Produksi
500.4.4.29;Penataan Pemanfaatan Hutan Produksi
500.4.4.30;Informasi Sumber Daya Hutan Produksi
500.4.4.31;Pengembangan Investasi Usaha
500.4.4.32;Penyiapan Pemanfaatan Hutan Alam
500.4.4.33;Rencana Kerja Pemanfaatan Hutan Alam/Rencana Kerja Usaha Produksi Hasil 
500.4.4.34;Produksi Hutan Alam
500.4.4.35;Penilaian Kinerja Usaha Pemanfaatan Hutan Alam
500.4.4.36;Pengembangan Hutan Tanaman Industri
500.4.4.37;Pengembangan Hutan Tanaman Rakyat
500.4.4.38;Pengembangan Rencana Kerja dan Produksi Hutan Tanaman/Rencana Kerja Usaha Produksi 
500.4.4.39;Penilaian Kinerja Pengembangan Usaha Pemanfaatan Hutan Tanaman
500.4.4.40;Pembiayaan Hutan Tanaman
500.4.4.41;Penerimaan Negara Bukan Pajak Hasil Hutan
500.4.4.42;Peredaran Hasil Hutan
500.4.4.43;Pengukuran dan Pengujian Hasil Hutan
500.4.4.44;Penertiban Peredaran Hasil Hutan 
500.4.4.45;Pengolahan dan Pemasaran Hasil Hutan
500.4.4.46;Pengendalian Bahan Baku dan Industri Primer Hasil Hutan
500.4.4.47;Penilaian Kinerja Industri dan Pemasaran Hasil Hutan
500.4.4.48;Pembinaan HPH/HTI/IUPHHK
500.4.4.49;Pembinaan TPTI/TPTJ/Silvikultur
500.4.5;Standardisasi dan Lingkungan
500.4.5.1;Standardisasi
500.4.5.2;Sarana Pengujian Hasil Hutan
500.4.5.3;Pengembangan
500.4.5.4;Pemasaran Hasil Hutan
500.4.5.5;Pengendalian Lingkungan
500.4.5.6;Angkutan Hasil Hutan
500.4.5.7;Tanda Pengenal Perusahaan Tata Usaha Hasil Hutan
500.4.5.8;Legalitas Tata Usaha Hasil Hutan
500.4.5.9;Palu Tok Kualitas Tata Usaha Hasil Hutan
500.4.5.10;Pass Angkutan Hasil Hutan
500.4.5.11;Sertifikat Ekspor Hasil Hutan
500.4.6;Perlindungan Hutan dan Konservasi Alam
500.4.6.1;Flora dan Fauna yang Dilindungi 
500.4.6.2;Flora dan Fauna yang Tidak Dilindungi
500.4.6.3;Lembaga Konservasi/Kebun Binatang
500.4.6.4;Konvensi Keanekaragaman Hayati
500.4.6.5;Kawasan Konservasi
500.4.6.6;Pengamanan Hutan
500.4.6.7;Program dan Evaluasi Penyidikan dan Perlindungan
500.4.6.8;Penyidikan dan Perlindungan Wilayah Hutan
500.4.6.9;Polisi Kehutanan dan Penyidik Pegawai Negeri Sipil (PPNS)
500.4.6.10;Pemanfaatan Jasa Lingkungan dan Wisata Alam
500.4.6.11;Bina Cinta Alam
500.4.6.12;Kader Konservasi Sumber Daya Alam
500.4.6.13;Data organisasi pencinta alam dan kader konservasi SDA
500.4.7;Bina Pengelolaan Daerah Aliran Sungai dan Perhutanan Sosial
500.4.7.1;Pengelolaan Benih
500.4.7.2;Kebun Benih
500.4.7.3;Tegakan Benih
500.4.7.4;Pengadaan Benih
500.4.7.5;Pengujian dan Penyimpanan Benih
500.4.7.6;Lalu Lintas Angkutan Benih
500.4.7.7;Pembibitan
500.4.7.8;Lalu Lintas Angkutan Benih
500.4.7.9;Pengembangan Usaha Perbenihan
500.4.7.10;Pengendalian Peredaran Benih 
500.4.7.11;Rehabilitasi Hutan dan Lahan
500.4.7.12;Tanaman Reboisasi
500.4.7.13;Pengelolaan Daerah Aliran Sungai (DAS)
500.4.7.14;Perhutanan Sosial
500.4.7.15;Pengendalian Perladangan
500.4.8;Penelitian dan Pengembangan Kehutanan
500.4.8.1;Penelitian, Pengkajian dan Pengembangan Kehutanan
500.4.8.2;Monitoring dan Evaluasi Penelitian
500.4.8.3;Diseminasi
500.4.8.4;Gelar Teknologi
500.4.8.5;Forum Komunikasi Penelitian dan Pengembangan
500.5;KELAUTAN DAN PERIKANAN
500.5.1;Kebijakan di bidang Kelautan dan Perikanan yang dilakukan oleh Pemerintah Daerah 
500.5.2;Perikanan Tangkap
500.5.2.1;Data dan Statistik Perikanan Tangkap
500.5.2.2;Rancang Bangun dan Kelaikan Kapal Perikanan
500.5.2.3;Rancang Bangun dan Kelaikan Alat Tangkap Ikan
500.5.2.4;Pendaftaran Kapal Perikanan
500.5.2.5;Pengawakan Kapal dan Ketenagakerjaan Perikanan
500.5.2.6;Perbantuan dan Evaluasi Kapal Perikanan dan Alat Penangkapan Ikan
500.5.2.7;Alokasi Usaha Penangkapan Ikan
500.5.2.8;Tata Pengusahaan Penangkapan Ikan
500.5.2.9;Verifikasi Dokumen Penangkapan Ikan
500.5.2.10;Pelayanan Dokumen Penangkapan Ikan
500.5.2.11;Pemantauan dan Evaluasi Pelayanan Usaha Penangkapan Ikan
500.5.2.12;Kelembgaan Usaha Penangkapan 
500.5.2.13;Investasi dan Permodalan Usaha
500.5.2.14;Kenelayanan
500.5.2.15;Pembinaan Pengelolaan Usaha
500.5.2.16;Pemantauan dan Evaluasi Usaha Penangkapan Ikan
500.5.3;Perikanan Budidaya
500.5.3.1;Potensi Lahan dan Air
500.5.3.2;Prasarana dan Sarana Budidaya Air Tawar
500.5.3.3;Pengelolaan Induk Perbenihan ikan air tawar
500.5.3.4;Perbenihan Skala Kecil
500.5.3.5;Informasi dan Distribusi Pembenihan
500.5.3.6;Budidaya Air Tawar
500.5.3.7;Budidaya Ikan Hias
500.5.3.8;Sertifikasi Budidaya Perikanan
500.5.3.9;Data dan Statistik Perikanan Budidaya
500.5.3.10;Hama dan Penyakit Ikan
500.5.3.11;Perlindungan Lingkungan Budidaya
500.5.3.12;Investasi dan Permodalan Usaha Budidaya
500.5.3.13;Kewirausahaan Budidaya
500.5.3.14;Pelayanan Usaha Budidaya
500.5.3.15;Kelembagaan dan Ketenagaakerjaan
500.5.3.16;Promosi Usaha dan Budaya
500.5.4;Pengolahan dan Pemasaran Hasil Perikanan
500.5.4.1;Standarisasi Pengolahan Hasil
500.5.4.2;Pengembangan Produk
500.5.4.3;Pengembangan Usaha Mikro, Kecil, dan Menengah 
500.5.4.4;Industri Pengolahan
500.5.4.5;Sarana dan Prasarana Pengolahan Hasil
500.5.4.6;Standarisasi Pengembangan Produk Non Konsumsi
500.5.4.7;Promosi dan Jaringan Ikan Hias
500.5.4.8;Pengembangan Industri
500.5.4.9;Sarana dan Prasarana Pengembangan Produk Non Konsumsi
500.5.4.10;Kelembagaan Pemasaran Dalam Negeri
